,Epochs,Neurons,R2,RMSE,MSE,MAPE
0,1500,1,0.8502160642630636,6.8731309604298065,47.23993,14.360140264034271
1,2000,1,0.856853242727807,6.71912585249597,45.146652,14.099252223968506
2,2500,1,0.8568581328681683,6.71901088474242,45.145107,14.108426868915558
