hum3,hum2,hum1,dewp3,dewp2,dewp1,tavg3,tavg2,tavg1,yTavg
69,79,71,32,41,39,41.5,50,49,51.5
79,71,66,41,39,40,50,49,51.5,58.5
71,66,57,39,40,43,49,51.5,58.5,59.5
66,57,73,40,43,48,51.5,58.5,59.5,54.5
57,73,72,43,48,44,58.5,59.5,54.5,56.5
73,72,74,48,44,48,59.5,54.5,56.5,63
72,74,57,44,48,45,54.5,56.5,63,65
74,57,27,48,45,27,56.5,63,65,57
57,27,47,45,27,37,63,65,57,56
27,47,34,27,37,27,65,57,56,53
47,34,48,37,27,35,57,56,53,63.5
34,48,68,27,35,51,56,53,63.5,72
48,68,45,35,51,46,53,63.5,72,73.5
68,45,26,51,46,38,63.5,72,73.5,64
45,26,43,46,38,43,72,73.5,64,59
26,43,47,38,43,38,73.5,64,59,65
43,47,41,43,38,38,64,59,65,66
47,41,40,38,38,37,59,65,66,64.5
41,40,52,38,37,44,65,66,64.5,68.5
40,52,39,37,44,42,66,64.5,68.5,73
52,39,33,44,42,42,64.5,68.5,73,69.5
39,33,49,42,42,49,68.5,73,69.5,73.5
33,49,58,42,49,54,73,69.5,73.5,76
49,58,58,49,54,57,69.5,73.5,76,68.5
58,58,59,54,57,50,73.5,76,68.5,70
58,59,61,57,50,56,76,68.5,70,70
59,61,64,50,56,55,68.5,70,70,63
61,64,71,56,55,51,70,70,63,49.5
64,71,94,55,51,47,70,63,49.5,52.5
71,94,88,51,47,47,63,49.5,52.5,57
94,88,71,47,47,45,49.5,52.5,57,64.5
88,71,47,47,45,41,52.5,57,64.5,72
71,47,42,45,41,45,57,64.5,72,69
47,42,36,41,45,39,64.5,72,69,66.5
42,36,50,45,39,47,72,69,66.5,71
36,50,60,39,47,54,69,66.5,71,67.5
50,60,75,47,54,60,66.5,71,67.5,72.5
60,75,62,54,60,54,71,67.5,72.5,72.5
75,62,45,60,54,45,67.5,72.5,72.5,63.5
62,45,48,54,45,43,72.5,72.5,63.5,74.5
45,48,34,45,43,40,72.5,63.5,74.5,81
48,34,22,43,40,35,63.5,74.5,81,73.5
34,22,42,40,35,46,74.5,81,73.5,68.5
