hum3,hum2,hum1,dewp3,dewp2,dewp1,tavg3,tavg2,tavg1,yTavg
34,42,41,46,46,45,78.5,76.5,75,76.5
42,41,35,46,45,42,76.5,75,76.5,80
41,35,30,45,42,47,75,76.5,80,82.5
35,30,25,42,47,43,76.5,80,82.5,79.5
30,25,28,47,43,47,80,82.5,79.5,73
25,28,17,43,47,28,82.5,79.5,73,75.5
28,17,28,47,28,39,79.5,73,75.5,74
17,28,48,28,39,49,73,75.5,74,74
28,48,20,39,49,32,75.5,74,74,77.5
48,20,28,49,32,39,74,74,77.5,77.5
20,28,43,32,39,49,74,77.5,77.5,75.5
28,43,33,39,49,43,77.5,77.5,75.5,78.5
43,33,31,49,43,41,77.5,75.5,78.5,72.5
33,31,64,43,41,58,75.5,78.5,72.5,78
31,64,31,41,58,42,78.5,72.5,78,72.5
64,31,32,58,42,38,72.5,78,72.5,72.5
31,32,20,42,38,32,78,72.5,72.5,77.5
32,20,31,38,32,45,72.5,72.5,77.5,78
20,31,25,32,45,40,72.5,77.5,78,73.5
31,25,41,45,40,47,77.5,78,73.5,75.5
25,41,24,40,47,33,78,73.5,75.5,81
41,24,29,47,33,45,73.5,75.5,81,73.5
24,29,50,33,45,46,75.5,81,73.5,72
29,50,20,45,46,27,81,73.5,72,77.5
50,20,36,46,27,41,73.5,72,77.5,80
20,36,25,27,41,43,72,77.5,80,82
36,25,31,41,43,47,77.5,80,82,81.5
25,31,31,43,47,48,80,82,81.5,81.5
31,31,24,47,48,45,82,81.5,81.5,78.5
31,24,34,48,45,47,81.5,81.5,78.5,80
24,34,32,45,47,48,81.5,78.5,80,81.5
34,32,30,47,48,41,78.5,80,81.5,73.5
32,30,33,48,41,37,80,81.5,73.5,78.5
30,33,30,41,37,39,81.5,73.5,78.5,81
33,30,34,37,39,50,73.5,78.5,81,82
30,34,26,39,50,47,78.5,81,82,72
34,26,29,50,47,37,81,82,72,59.5
26,29,34,47,37,29,82,72,59.5,60
29,34,33,37,29,31,72,59.5,60,69.5
34,33,40,29,31,42,59.5,60,69.5,66.5
33,40,82,31,42,58,60,69.5,66.5,56.5
40,82,43,42,58,31,69.5,66.5,56.5,63
82,43,58,58,31,47,66.5,56.5,63,64
43,58,36,31,47,31,56.5,63,64,62
58,36,27,47,31,28,63,64,62,68.5
36,27,31,31,28,36,64,62,68.5,69.5
27,31,35,28,36,38,62,68.5,69.5,69
31,35,29,36,38,33,68.5,69.5,69,54
35,29,43,38,33,25,69.5,69,54,56
29,43,68,33,25,44,69,54,56,60
43,68,33,25,44,24,54,56,60,62.5
68,33,33,44,24,29,56,60,62.5,59.5
33,33,28,24,29,23,60,62.5,59.5,67
33,28,33,29,23,35,62.5,59.5,67,54
28,33,38,23,35,26,59.5,67,54,54
33,38,27,35,26,11,67,54,54,59.5
38,27,85,26,11,55,54,54,59.5,66
27,85,28,11,55,28,54,59.5,66,71.5
85,28,23,55,28,26,59.5,66,71.5,70.5
28,23,31,28,26,36,66,71.5,70.5,73
23,31,39,26,36,42,71.5,70.5,73,67
31,39,26,36,42,23,70.5,73,67,73
39,26,38,42,23,45,73,67,73,54.5
26,38,55,23,45,38,67,73,54.5,63
38,55,28,45,38,31,73,54.5,63,71
55,28,34,38,31,36,54.5,63,71,70
28,34,41,31,36,41,63,71,70,70
34,41,34,36,41,40,71,70,70,68.5
41,34,41,41,40,38,70,70,68.5,65.5
34,41,53,40,38,44,70,68.5,65.5,63
41,53,23,38,44,23,68.5,65.5,63,50.5
53,23,38,44,23,21,65.5,63,50.5,42
23,38,89,23,21,40,63,50.5,42,43.5
38,89,86,21,40,43,50.5,42,43.5,50.5
89,86,70,40,43,38,42,43.5,50.5,58
86,70,84,43,38,55,43.5,50.5,58,52
70,84,36,38,55,27,50.5,58,52,56.5
84,36,31,55,27,18,58,52,56.5,55
36,31,26,27,18,18,52,56.5,55,66.5
31,26,28,18,18,33,56.5,55,66.5,54
26,28,33,18,33,26,55,66.5,54,42.5
28,33,27,33,26,2,66.5,54,42.5,44
33,27,38,26,2,18,54,42.5,44,43.5
27,38,49,2,18,22,42.5,44,43.5,53
38,49,57,18,22,36,44,43.5,53,55.5
49,57,45,22,36,31,43.5,53,55.5,52
57,45,87,36,31,51,53,55.5,52,55.5
45,87,31,31,51,17,55.5,52,55.5,62
87,31,34,51,17,24,52,55.5,62,47.5
31,34,37,17,24,21,55.5,62,47.5,23
34,37,93,24,21,17,62,47.5,23,27.5
37,93,79,21,17,25,47.5,23,27.5,38.5
93,79,48,17,25,18,23,27.5,38.5,47
79,48,42,25,18,19,27.5,38.5,47,46.5
48,42,50,18,19,25,38.5,47,46.5,55.5
42,50,31,19,25,21,47,46.5,55.5,39
50,31,76,25,21,33,46.5,55.5,39,20
31,76,81,21,33,16,55.5,39,20,24.5
76,81,91,33,16,25,39,20,24.5,38.5
81,91,52,16,25,19,20,24.5,38.5,45.5
91,52,62,25,19,26,24.5,38.5,45.5,37
52,62,63,19,26,22,38.5,45.5,37,34.5
62,63,49,26,22,15,45.5,37,34.5,35
63,49,89,22,15,35,37,34.5,35,33.5
49,89,68,15,35,23,34.5,35,33.5,46
89,68,32,35,23,17,35,33.5,46,50.5
68,32,30,23,17,19,33.5,46,50.5,49.5
32,30,38,17,19,19,46,50.5,49.5,45
30,38,28,19,19,16,50.5,49.5,45,42.5
38,28,60,19,16,16,49.5,45,42.5,38
28,60,50,16,16,20,45,42.5,38,26
60,50,80,16,20,23,42.5,38,26,40.5
50,80,30,20,23,13,38,26,40.5,47.5
80,30,42,23,13,20,26,40.5,47.5,34
30,42,81,13,20,31,40.5,47.5,34,31.5
42,81,87,20,31,35,47.5,34,31.5,37.5
81,87,79,31,35,30,34,31.5,37.5,42
87,79,52,35,30,27,31.5,37.5,42,47.5
79,52,46,30,27,27,37.5,42,47.5,53.5
52,46,35,27,27,22,42,47.5,53.5,43
46,35,86,27,22,42,47.5,53.5,43,27.5
35,86,36,22,42,2,53.5,43,27.5,38.5
86,36,56,42,2,20,43,27.5,38.5,48.5
36,56,27,2,20,20,27.5,38.5,48.5,41
56,27,83,20,20,38,38.5,48.5,41,47
27,83,85,20,38,41,48.5,41,47,19.5
83,85,79,38,41,14,41,47,19.5,17
85,79,76,41,14,17,47,19.5,17,15.5
79,76,76,14,17,8,19.5,17,15.5,18
76,76,79,17,8,13,17,15.5,18,2.5
76,79,76,8,13,2,15.5,18,2.5,12.5
79,76,67,13,2,7,18,2.5,12.5,27
76,67,82,2,7,25,2.5,12.5,27,22
67,82,89,7,25,27,12.5,27,22,20.5
82,89,81,25,27,18,27,22,20.5,27
89,81,65,27,18,15,22,20.5,27,31
81,65,76,18,15,25,20.5,27,31,24.5
65,76,74,15,25,21,27,31,24.5,24.5
76,74,92,25,21,31,31,24.5,24.5,35
74,92,65,21,31,20,24.5,24.5,35,30
92,65,58,31,20,8,24.5,35,30,27
65,58,84,20,8,26,35,30,27,29
58,84,82,8,26,26,30,27,29,41.5
84,82,60,26,26,28,27,29,41.5,29.5
82,60,57,26,28,17,29,41.5,29.5,29.5
60,57,76,28,17,23,41.5,29.5,29.5,30
57,76,90,17,23,26,29.5,29.5,30,15
76,90,81,23,26,13,29.5,30,15,21.5
90,81,87,26,13,21,30,15,21.5,24
81,87,49,13,21,8,15,21.5,24,27
87,49,67,21,8,8,21.5,24,27,30.5
49,67,34,8,8,9,24,27,30.5,30.5
67,34,87,8,9,33,27,30.5,30.5,38.5
34,87,39,9,33,14,30.5,30.5,38.5,45
87,39,75,33,14,40,30.5,38.5,45,44
39,75,73,14,40,36,38.5,45,44,37
75,73,38,40,36,9,45,44,37,27
73,38,59,36,9,13,44,37,27,36
38,59,50,9,13,18,37,27,36,41.5
59,50,37,13,18,17,27,36,41.5,41.5
50,37,39,18,17,17,36,41.5,41.5,52.5
37,39,31,17,17,19,41.5,41.5,52.5,36
39,31,55,17,19,20,41.5,52.5,36,30.5
31,55,74,19,20,22,52.5,36,30.5,27
55,74,66,20,22,16,36,30.5,27,37
74,66,52,22,16,19,30.5,27,37,45.5
66,52,41,16,19,21,27,37,45.5,19.5
52,41,76,19,21,12,37,45.5,19.5,17.5
41,76,48,21,12,5,45.5,19.5,17.5,33
76,48,34,12,5,9,19.5,17.5,33,39
48,34,36,5,9,14,17.5,33,39,45.5
34,36,28,9,14,14,33,39,45.5,28
36,28,73,14,14,16,39,45.5,28,15.5
28,73,64,14,16,4,45.5,28,15.5,30
73,64,43,16,4,14,28,15.5,30,46.5
64,43,40,4,14,24,15.5,30,46.5,43
43,40,40,14,24,22,30,46.5,43,48
40,40,42,24,22,24,46.5,43,48,35
40,42,47,22,24,17,43,48,35,36.5
42,47,42,24,17,14,48,35,36.5,28.5
47,42,69,17,14,21,35,36.5,28.5,40.5
42,69,46,14,21,16,36.5,28.5,40.5,42
69,46,42,21,16,18,28.5,40.5,42,30
46,42,63,16,18,17,40.5,42,30,30.5
42,63,35,18,17,4,42,30,30.5,43.5
63,35,29,17,4,13,30,30.5,43.5,49.5
35,29,25,4,13,12,30.5,43.5,49.5,39.5
29,25,79,13,12,38,43.5,49.5,39.5,37
25,79,40,12,38,14,49.5,39.5,37,35.5
79,40,56,38,14,18,39.5,37,35.5,28
40,56,89,14,18,24,37,35.5,28,21.5
56,89,80,18,24,18,35.5,28,21.5,20
89,80,70,24,18,10,28,21.5,20,23.5
80,70,66,18,10,14,21.5,20,23.5,14.5
70,66,82,10,14,14,20,23.5,14.5,18.5
66,82,76,14,14,13,23.5,14.5,18.5,30.5
82,76,58,14,13,16,14.5,18.5,30.5,21.5
76,58,75,13,16,13,18.5,30.5,21.5,10
58,75,79,16,13,6,30.5,21.5,10,14
75,79,79,13,6,9,21.5,10,14,31
79,79,73,6,9,22,10,14,31,29
79,73,68,9,22,20,14,31,29,23
73,68,82,22,20,20,31,29,23,27
68,82,68,20,20,19,29,23,27,26
82,68,57,20,19,15,23,27,26,25.5
68,57,72,19,15,19,27,26,25.5,30.5
57,72,73,15,19,21,26,25.5,30.5,32
72,73,48,19,21,13,25.5,30.5,32,36
73,48,38,21,13,15,30.5,32,36,48
48,38,36,13,15,23,32,36,48,32.5
38,36,64,15,23,17,36,48,32.5,26
36,64,51,23,17,10,48,32.5,26,43
64,51,38,17,10,12,32.5,26,43,29.5
51,38,33,10,12,2,26,43,29.5,33.5
38,33,44,12,2,14,43,29.5,33.5,34
33,44,55,2,14,20,29.5,33.5,34,43
44,55,69,14,20,35,33.5,34,43,33.5
55,69,62,20,35,18,34,43,33.5,25.5
69,62,64,35,18,13,43,33.5,25.5,32.5
62,64,32,18,13,7,33.5,25.5,32.5,46
64,32,34,13,7,15,25.5,32.5,46,48.5
32,34,21,7,15,9,32.5,46,48.5,53
34,21,17,15,9,6,46,48.5,53,37.5
21,17,80,9,6,24,48.5,53,37.5,33
17,80,44,6,24,11,53,37.5,33,42.5
80,44,23,24,11,6,37.5,33,42.5,49.5
44,23,37,11,6,20,33,42.5,49.5,48.5
23,37,46,6,20,24,42.5,49.5,48.5,52.5
37,46,22,20,24,13,49.5,48.5,52.5,54
46,22,16,24,13,7,48.5,52.5,54,53.5
22,16,12,13,7,1,52.5,54,53.5,53.5
16,12,20,7,1,13,54,53.5,53.5,58
12,20,21,1,13,16,53.5,53.5,58,59.5
20,21,14,13,16,8,53.5,58,59.5,55
21,14,18,16,8,13,58,59.5,55,40
14,18,20,8,13,1,59.5,55,40,37
18,20,39,13,1,12,55,40,37,44
20,39,28,1,12,13,40,37,44,48
39,28,42,12,13,22,37,44,48,56.5
28,42,28,13,22,21,44,48,56.5,57
42,28,34,22,21,26,48,56.5,57,56
28,34,51,21,26,35,56.5,57,56,63
34,51,22,26,35,16,57,56,63,51
51,22,27,35,16,17,56,63,51,57.5
22,27,28,16,17,20,63,51,57.5,58
27,28,25,17,20,19,51,57.5,58,59
28,25,20,20,19,19,57.5,58,59,61.5
25,20,30,19,19,23,58,59,61.5,65
20,30,14,19,23,12,59,61.5,65,45
30,14,60,23,12,28,61.5,65,45,33
14,60,90,12,28,31,65,45,33,47
60,90,68,28,31,34,45,33,47,54.5
90,68,54,31,34,36,33,47,54.5,54
68,54,33,34,36,17,47,54.5,54,42.5
54,33,35,36,17,15,54.5,54,42.5,53
33,35,28,17,15,16,54,42.5,53,51.5
35,28,43,15,16,26,42.5,53,51.5,58
28,43,52,16,26,36,53,51.5,58,59.5
43,52,67,26,36,45,51.5,58,59.5,53.5
52,67,57,36,45,37,58,59.5,53.5,49
67,57,37,45,37,22,59.5,53.5,49,48
57,37,56,37,22,30,53.5,49,48,44
37,56,61,22,30,30,49,48,44,44
56,61,47,30,30,23,48,44,44,52
61,47,32,30,23,23,44,44,52,52.5
47,32,39,23,23,30,44,52,52.5,51.5
32,39,57,23,30,33,52,52.5,51.5,53.5
39,57,45,30,33,31,52.5,51.5,53.5,59
57,45,38,33,31,32,51.5,53.5,59,56.5
45,38,43,31,32,33,53.5,59,56.5,64
38,43,32,32,33,30,59,56.5,64,69
43,32,27,33,30,29,56.5,64,69,66.5
32,27,29,30,29,31,64,69,66.5,65
27,29,48,29,31,42,69,66.5,65,52
29,48,54,31,42,35,66.5,65,52,48
48,54,35,42,35,22,65,52,48,49.5
54,35,52,35,22,31,52,48,49.5,58
35,52,31,22,31,27,48,49.5,58,63
52,31,31,31,27,28,49.5,58,63,61
31,31,40,27,28,35,58,63,61,64.5
31,40,34,28,35,35,63,61,64.5,71
40,34,21,35,35,26,61,64.5,71,66.5
34,21,42,35,26,37,64.5,71,66.5,51.5
21,42,60,26,37,35,71,66.5,51.5,44
42,60,80,37,35,39,66.5,51.5,44,52
60,80,53,35,39,33,51.5,44,52,58.5
80,53,30,39,33,25,44,52,58.5,68
53,30,21,33,25,23,52,58.5,68,45
30,21,62,25,23,31,58.5,68,45,47
21,62,73,23,31,37,68,45,47,48.5
62,73,67,31,37,38,45,47,48.5,60
73,67,30,37,38,21,47,48.5,60,63.5
67,30,20,38,21,20,48.5,60,63.5,67
30,20,26,21,20,28,60,63.5,67,68.5
20,26,27,20,28,31,63.5,67,68.5,71
26,27,24,28,31,29,67,68.5,71,49.5
27,24,75,31,29,42,68.5,71,49.5,57
24,75,53,29,42,38,71,49.5,57,69
75,53,34,42,38,34,49.5,57,69,74
53,34,19,38,34,27,57,69,74,58.5
34,19,60,34,27,40,69,74,58.5,57
19,60,52,27,40,35,74,58.5,57,61.5
60,52,53,40,35,42,58.5,57,61.5,73
52,53,34,35,42,29,57,61.5,73,59.5
53,34,26,42,29,18,61.5,73,59.5,63
34,26,19,29,18,18,73,59.5,63,59.5
26,19,27,18,18,25,59.5,63,59.5,65.5
19,27,33,18,25,31,63,59.5,65.5,57.5
27,33,29,25,31,23,59.5,65.5,57.5,66.5
33,29,37,31,23,38,65.5,57.5,66.5,69
29,37,42,23,38,41,57.5,66.5,69,74.5
37,42,29,38,41,38,66.5,69,74.5,76.5
42,29,31,41,38,40,69,74.5,76.5,72.5
29,31,36,38,40,44,74.5,76.5,72.5,74.5
31,36,47,40,44,48,76.5,72.5,74.5,70
36,47,63,44,48,54,72.5,74.5,70,72.5
47,63,44,48,54,47,74.5,70,72.5,78
63,44,17,54,47,28,70,72.5,78,62.5
44,17,31,47,28,29,72.5,78,62.5,60.5
17,31,29,28,29,28,78,62.5,60.5,70
31,29,25,29,28,27,62.5,60.5,70,72.5
29,25,18,28,27,26,60.5,70,72.5,68
25,18,31,27,26,38,70,72.5,68,72
18,31,40,26,38,44,72.5,68,72,68
31,40,47,38,44,44,68,72,68,80.5
40,47,18,44,44,28,72,68,80.5,82.5
47,18,10,44,28,22,68,80.5,82.5,80
18,10,16,28,22,28,80.5,82.5,80,64.5
10,16,47,22,28,42,82.5,80,64.5,73.5
16,47,31,28,42,40,80,64.5,73.5,80
47,31,23,42,40,32,64.5,73.5,80,81
31,23,11,40,32,23,73.5,80,81,85
23,11,15,32,23,31,80,81,85,85
11,15,18,23,31,30,81,85,85,88
15,18,14,31,30,31,85,85,88,81
18,14,32,30,31,43,85,88,81,79
14,32,33,31,43,41,88,81,79,81.5
32,33,20,43,41,35,81,79,81.5,81.5
33,20,34,41,35,49,79,81.5,81.5,85
20,34,24,35,49,38,81.5,81.5,85,84.5
34,24,31,49,38,45,81.5,85,84.5,79.5
24,31,32,38,45,44,85,84.5,79.5,80.5
31,32,27,45,44,41,84.5,79.5,80.5,82.5
32,27,40,44,41,51,79.5,80.5,82.5,76.5
27,40,51,41,51,52,80.5,82.5,76.5,72
40,51,71,51,52,56,82.5,76.5,72,68.5
51,71,73,52,56,57,76.5,72,68.5,70.5
71,73,62,56,57,55,72,68.5,70.5,72
73,62,46,57,55,47,68.5,70.5,72,76.5
62,46,37,55,47,47,70.5,72,76.5,77
46,37,30,47,47,42,72,76.5,77,81.5
37,30,23,47,42,37,76.5,77,81.5,79.5
30,23,26,42,37,39,77,81.5,79.5,81.5
23,26,28,37,39,42,81.5,79.5,81.5,78.5
26,28,41,39,42,47,79.5,81.5,78.5,75
28,41,35,42,47,45,81.5,78.5,75,80.5
41,35,27,47,45,40,78.5,75,80.5,82
35,27,24,45,40,39,75,80.5,82,84
27,24,20,40,39,38,80.5,82,84,85
24,20,21,39,38,37,82,84,85,82.5
20,21,32,38,37,46,84,85,82.5,82
21,32,29,37,46,43,85,82.5,82,79
32,29,31,46,43,44,82.5,82,79,77
29,31,43,43,44,49,82,79,77,75
31,43,36,44,49,44,79,77,75,80
43,36,39,49,44,46,77,75,80,80
36,39,36,44,46,47,75,80,80,79
39,36,43,46,47,49,80,80,79,77
36,43,54,47,49,55,80,79,77,81.5
43,54,28,49,55,47,79,77,81.5,79.5
54,28,37,55,47,47,77,81.5,79.5,77.5
28,37,32,47,47,43,81.5,79.5,77.5,80.5
37,32,20,47,43,33,79.5,77.5,80.5,70.5
32,20,36,43,33,40,77.5,80.5,70.5,77.5
20,36,28,33,40,40,80.5,70.5,77.5,83.5
36,28,21,40,40,38,70.5,77.5,83.5,80
28,21,26,40,38,40,77.5,83.5,80,78.5
21,26,20,38,40,31,83.5,80,78.5,76
26,20,25,40,31,37,80,78.5,76,79
20,25,29,31,37,42,78.5,76,79,75.5
25,29,38,37,42,45,76,79,75.5,70
29,38,35,42,45,38,79,75.5,70,68.5
38,35,37,45,38,42,75.5,70,68.5,75.5
35,37,27,38,42,36,70,68.5,75.5,76.5
37,27,26,42,36,35,68.5,75.5,76.5,66
27,26,48,36,35,43,75.5,76.5,66,67
26,48,42,35,43,42,76.5,66,67,68.5
48,42,31,43,42,34,66,67,68.5,67.5
42,31,27,42,34,29,67,68.5,67.5,70
31,27,31,34,29,37,68.5,67.5,70,72.5
27,31,26,29,37,34,67.5,70,72.5,78
31,26,30,37,34,41,70,72.5,78,71.5
26,30,48,34,41,49,72.5,78,71.5,74
30,48,37,41,49,44,78,71.5,74,69.5
48,37,34,49,44,39,71.5,74,69.5,76.5
37,34,29,44,39,36,74,69.5,76.5,79
34,29,25,39,36,38,69.5,76.5,79,80.5
29,25,25,36,38,40,76.5,79,80.5,80.5
25,25,21,38,40,37,79,80.5,80.5,79.5
25,21,22,40,37,35,80.5,80.5,79.5,75
21,22,29,37,35,43,80.5,79.5,75,79.5
22,29,23,35,43,35,79.5,75,79.5,77.5
29,23,39,43,35,45,75,79.5,77.5,75.5
23,39,33,35,45,40,79.5,77.5,75.5,77.5
39,33,20,45,40,27,77.5,75.5,77.5,71
33,20,18,40,27,23,75.5,77.5,71,75
20,18,15,27,23,21,77.5,71,75,61
18,15,45,23,21,38,71,75,61,63
15,45,36,21,38,32,75,61,63,68
45,36,19,38,32,22,61,63,68,76.5
36,19,14,32,22,22,63,68,76.5,75
19,14,34,22,22,37,68,76.5,75,54
14,34,83,22,37,47,76.5,75,54,59.5
34,83,58,37,47,42,75,54,59.5,63
83,58,39,47,42,33,54,59.5,63,68.5
58,39,27,42,33,27,59.5,63,68.5,70.5
39,27,19,33,27,23,63,68.5,70.5,56
27,19,53,27,23,37,68.5,70.5,56,63
19,53,34,23,37,31,70.5,56,63,66.5
53,34,24,37,31,27,56,63,66.5,65
34,24,24,31,27,27,63,66.5,65,63
24,24,30,27,27,29,66.5,65,63,63
24,30,35,27,29,32,65,63,63,69
30,35,23,29,32,26,63,63,69,68.5
35,23,32,32,26,35,63,69,68.5,62
23,32,60,26,35,43,69,68.5,62,58
32,60,74,35,43,48,68.5,62,58,56
60,74,73,43,48,46,62,58,56,58
74,73,62,48,46,43,58,56,58,63
73,62,49,46,43,41,56,58,63,62.5
62,49,30,43,41,28,58,63,62.5,57.5
49,30,50,41,28,38,63,62.5,57.5,65.5
30,50,28,28,38,28,62.5,57.5,65.5,59
50,28,33,38,28,26,57.5,65.5,59,41.5
28,33,52,28,26,23,65.5,59,41.5,36
33,52,79,26,23,29,59,41.5,36,33.5
52,79,80,23,29,27,41.5,36,33.5,39.5
79,80,47,29,27,18,36,33.5,39.5,52.5
80,47,22,27,18,11,33.5,39.5,52.5,44
47,22,66,18,11,30,39.5,52.5,44,46.5
22,66,61,11,30,34,52.5,44,46.5,51.5
66,61,44,30,34,31,44,46.5,51.5,51
61,44,66,34,31,36,46.5,51.5,51,47.5
44,66,68,31,36,39,51.5,51,47.5,56.5
66,68,51,36,39,36,51,47.5,56.5,62.5
68,51,27,39,36,26,47.5,56.5,62.5,59.5
51,27,32,36,26,28,56.5,62.5,59.5,45
27,32,21,26,28,9,62.5,59.5,45,43.5
32,21,38,28,9,15,59.5,45,43.5,52.5
21,38,26,9,15,18,45,43.5,52.5,60
38,26,23,15,18,21,43.5,52.5,60,55
26,23,33,18,21,25,52.5,60,55,54
23,33,51,21,25,32,60,55,54,61
33,51,27,25,32,24,55,54,61,39
51,27,72,32,24,32,54,61,39,29
27,72,79,24,32,23,61,39,29,31
72,79,78,32,23,23,39,29,31,37
79,78,64,23,23,24,29,31,37,47
78,64,51,23,24,27,31,37,47,54
64,51,44,24,27,31,37,47,54,52.5
51,44,41,27,31,28,47,54,52.5,55.5
44,41,63,31,28,40,54,52.5,55.5,55
41,63,44,28,40,29,52.5,55.5,55,45.5
63,44,48,40,29,28,55.5,55,45.5,44
44,48,59,29,28,30,55,45.5,44,47.5
48,59,44,28,30,26,45.5,44,47.5,51
59,44,45,30,26,28,44,47.5,51,51
44,45,44,26,28,29,47.5,51,51,58
45,44,31,28,29,23,51,51,58,44.5
44,31,45,29,23,25,51,58,44.5,46.5
31,45,53,23,25,30,58,44.5,46.5,37.5
45,53,73,25,30,25,44.5,46.5,37.5,23.5
53,73,54,30,25,8,46.5,37.5,23.5,30.5
73,54,42,25,8,10,37.5,23.5,30.5,39.5
54,42,54,8,10,19,23.5,30.5,39.5,38.5
42,54,59,10,19,22,30.5,39.5,38.5,37
54,59,67,19,22,25,39.5,38.5,37,43
59,67,61,22,25,27,38.5,37,43,49.5
67,61,38,25,27,23,37,43,49.5,48
61,38,38,27,23,22,43,49.5,48,43
38,38,43,23,22,21,49.5,48,43,50
38,43,28,22,21,16,48,43,50,54
43,28,19,21,16,12,43,50,54,40.5
28,19,35,16,12,16,50,54,40.5,34.5
19,35,47,12,16,14,54,40.5,34.5,45.5
35,47,18,16,14,9,40.5,34.5,45.5,48
47,18,28,14,9,12,34.5,45.5,48,27.5
18,28,76,9,12,20,45.5,48,27.5,37
28,76,29,12,20,5,48,27.5,37,41
76,29,28,20,5,8,27.5,37,41,46.5
29,28,25,5,8,14,37,41,46.5,47
28,25,47,8,14,27,41,46.5,47,49.5
25,47,36,14,27,22,46.5,47,49.5,52
47,36,23,27,22,13,47,49.5,52,43
36,23,30,22,13,13,49.5,52,43,40.5
23,30,34,13,13,12,52,43,40.5,53.5
30,34,29,13,12,21,43,40.5,53.5,39.5
34,29,59,12,21,26,40.5,53.5,39.5,37.5
29,59,57,21,26,21,53.5,39.5,37.5,37
59,57,48,26,21,14,39.5,37.5,37,13.5
57,48,43,21,14,-1,37.5,37,13.5,25.5
48,43,37,14,-1,2,37,13.5,25.5,25
43,37,60,-1,2,13,13.5,25.5,25,43
37,60,31,2,13,12,25.5,25,43,42.5
60,31,32,13,12,12,25,43,42.5,35.5
31,32,50,12,12,16,43,42.5,35.5,36
32,50,55,12,16,20,42.5,35.5,36,32
50,55,60,16,20,18,35.5,36,32,36.5
55,60,33,20,18,10,36,32,36.5,33.5
60,33,56,18,10,18,32,36.5,33.5,15.5
33,56,69,10,18,9,36.5,33.5,15.5,28
56,69,32,18,9,2,33.5,15.5,28,38.5
69,32,30,9,2,7,15.5,28,38.5,40
32,30,29,2,7,7,28,38.5,40,40
30,29,34,7,7,7,38.5,40,40,25
29,34,65,7,7,15,40,40,25,8
34,65,74,7,15,1,40,25,8,9.5
65,74,73,15,1,3,25,8,9.5,16.5
74,73,74,1,3,9,8,9.5,16.5,20.5
73,74,56,3,9,5,9.5,16.5,20.5,18
74,56,50,9,5,2,16.5,20.5,18,25
56,50,50,5,2,7,20.5,18,25,16.5
50,50,76,2,7,11,18,25,16.5,16
50,76,63,7,11,6,25,16.5,16,23
76,63,51,11,6,5,16.5,16,23,23
63,51,38,6,5,0,16,23,23,31
51,38,35,5,0,4,23,23,31,26.5
38,35,51,0,4,10,23,31,26.5,30
35,51,39,4,10,8,31,26.5,30,37.5
51,39,38,10,8,11,26.5,30,37.5,39.5
39,38,39,8,11,14,30,37.5,39.5,41
38,39,38,11,14,14,37.5,39.5,41,35.5
39,38,39,14,14,14,39.5,41,35.5,21.5
38,39,66,14,14,12,41,35.5,21.5,-1
39,66,74,14,12,-4,35.5,21.5,-1,0.5
66,74,71,12,-4,-4,21.5,-1,0.5,2
74,71,72,-4,-4,-4,-1,0.5,2,13.5
71,72,52,-4,-4,2,0.5,2,13.5,35.5
72,52,52,-4,2,17,2,13.5,35.5,34.5
52,52,52,2,17,17,13.5,35.5,34.5,44
52,52,24,17,17,6,35.5,34.5,44,41
52,24,24,17,6,6,34.5,44,41,30.5
24,24,50,6,6,12,44,41,30.5,36.5
24,50,35,6,12,7,41,30.5,36.5,45.5
50,35,14,12,7,-4,30.5,36.5,45.5,46.5
35,14,17,7,-4,0,36.5,45.5,46.5,47
14,17,27,-4,0,13,45.5,46.5,47,44
17,27,49,0,13,23,46.5,47,44,39
27,49,57,13,23,26,47,44,39,43.5
49,57,61,23,26,28,44,39,43.5,41
57,61,57,26,28,22,39,43.5,41,22
61,57,67,28,22,13,43.5,41,22,19.5
57,67,48,22,13,7,41,22,19.5,31
67,48,29,13,7,2,22,19.5,31,35
48,29,51,7,2,17,19.5,31,35,39.5
29,51,48,2,17,14,31,35,39.5,39
51,48,41,17,14,14,35,39.5,39,39
48,41,33,14,14,8,39.5,39,39,40
41,33,31,14,8,13,39,39,40,45
33,31,44,8,13,20,39,40,45,37
31,44,55,13,20,18,40,45,37,37
44,55,46,20,18,16,45,37,37,28
55,46,66,18,16,18,37,37,28,25.5
46,66,56,16,18,12,37,28,25.5,19.5
66,56,60,18,12,9,28,25.5,19.5,28
56,60,39,12,9,1,25.5,19.5,28,33.5
60,39,32,9,1,6,19.5,28,33.5,27
39,32,68,1,6,16,28,33.5,27,27
32,68,59,6,16,12,33.5,27,27,41.5
68,59,27,16,12,7,27,27,41.5,44.5
59,27,22,12,7,0,27,41.5,44.5,27
27,22,43,7,0,7,41.5,44.5,27,28.5
22,43,40,0,7,6,44.5,27,28.5,26
43,40,73,7,6,16,27,28.5,26,15
40,73,76,6,16,11,28.5,26,15,18.5
73,76,67,16,11,10,26,15,18.5,31.5
76,67,51,11,10,13,15,18.5,31.5,22.5
67,51,86,10,13,22,18.5,31.5,22.5,18
51,86,67,13,22,8,31.5,22.5,18,21.5
86,67,76,22,8,16,22.5,18,21.5,21.5
67,76,56,8,16,9,18,21.5,21.5,26
76,56,80,16,9,26,21.5,21.5,26,29
